รหัส,ชื่อคู่มือ,ปี,กอง/หมวด,คำสำคัญ,ลิงก์ PDF,เจ้าของ,สถานะ
HND-001,การใช้งานระบบการประชุมออนไลน์ Zoom Meeting,2568,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"Zoom,ประชุมออนไลน์,ดิจิทัล",https://erp.mju.ac.th/openFile.aspx?id=NzQ0MDgw&method=inline,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; PDF ตรวจพบ
HND-002,คู่มือระบบการลาออนไลน์ (ฉบับปรับปรุง),2567,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"ลาออนไลน์,บุคลากร",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องยืนยัน URL PDF
HND-003,กระบวนการเบิกหักผลักส่งงบประมาณวิจัยเพื่อสนับสนุนงานมูลฐาน (FF) และงบบริการวิชาการ,,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"งบประมาณวิจัย,FF,เบิกจ่าย",https://erp.mju.ac.th/openFile.aspx?id=NjYzNjU3&method=inline,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; PDF ตรวจพบ
HND-004,คู่มือระบบการลาออนไลน์,2566,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"ลาออนไลน์,บุคลากร",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องยืนยัน URL PDF
HND-005,ระบบจองห้องประชุมออนไลน์: Google Calendar (ฉบับปรับปรุง),2565,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"Google Calendar,จองห้องประชุม",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-006,ระบบการจองห้องประชุม: Google Calendar,2564,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"Google Calendar,จองห้องประชุม",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-007,ระบบสนับสนุนการตัดสินใจของผู้บริหาร: การบริหารจัดการงบประมาณโครงการบริการวิชาการ,2563,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"ผู้บริหาร,งบประมาณ,บริการวิชาการ",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-008,การสร้างแบบฟอร์มออนไลน์ด้วยโปรแกรม Microsoft Word,2560,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"Microsoft Word,แบบฟอร์มออนไลน์",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-009,การให้บริการยืมวัสดุและอุปกรณ์,2560,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"ยืมวัสดุ,อุปกรณ์",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-010,การขับรถอย่างปลอดภัย,2560,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"ขับรถ,ความปลอดภัย",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
